rank,team,fifa_code,confederation,elevenv11_slug,ranking_date
1,Spain,ESP,UEFA,spain,2026-07-20
2,Argentina,ARG,CONMEBOL,argentina,2026-07-20
3,France,FRA,UEFA,france,2026-07-20
4,England,ENG,UEFA,england,2026-07-20
5,Brazil,BRA,CONMEBOL,brazil,2026-07-20
6,Morocco,MAR,CAF,morocco,2026-07-20
7,Portugal,POR,UEFA,portugal,2026-07-20
8,Belgium,BEL,UEFA,belgium,2026-07-20
9,Netherlands,NED,UEFA,netherlands,2026-07-20
10,Mexico,MEX,CONCACAF,mexico,2026-07-20
11,Colombia,COL,CONMEBOL,colombia,2026-07-20
12,Germany,GER,UEFA,germany,2026-07-20
13,Croatia,CRO,UEFA,croatia,2026-07-20
14,Switzerland,SUI,UEFA,switzerland,2026-07-20
15,Italy,ITA,UEFA,italy,2026-07-20
16,USA,USA,CONCACAF,usa,2026-07-20
17,Japan,JPN,AFC,japan,2026-07-20
18,Senegal,SEN,CAF,senegal,2026-07-20
19,Norway,NOR,UEFA,norway,2026-07-20
20,Uruguay,URU,CONMEBOL,uruguay,2026-07-20
