team,season,player,starts,sub_appearances,goals,position,source_url
Italy,2005-06,Christian Abbiati,2,0,0,Goalkeeper,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Marco Amelia,0,1,0,Goalkeeper,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Simone Barone,2,7,0,Midfielder,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Andrea Barzagli,2,4,0,Defender,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Manuele Blasi,0,1,0,Midfielder,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Daniele Bonera,1,1,0,Defender,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Gianluigi Buffon,10,0,0,Goalkeeper,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Mauro Camoranesi,10,3,1,Midfielder,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Fabio Cannavaro,15,0,0,Defender,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Daniele De Rossi,8,4,1,Midfielder,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Morgan De Sanctis,1,0,0,Goalkeeper,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Alessandro Del Piero,8,4,2,Forward,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Aimo Stefano Diana,1,3,1,Defender,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Gennaro Gattuso,11,2,0,Midfielder,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Alberto Gilardino,12,2,6,Forward,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Fabio Grosso,14,2,2,Defender,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Vincenzo Iaquinta,3,10,1,Forward,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Filippo Inzaghi,0,2,1,Forward,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Marco Materazzi,6,4,2,Defender,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Alessandro Nesta,10,0,0,Defender,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Massimo Oddo,1,3,0,Defender,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Manuel Pasqual,0,1,0,Defender,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Simone Perrotta,7,3,0,Midfielder,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Angelo Peruzzi,3,0,0,Goalkeeper,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Andrea Pirlo,16,0,2,Forward,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Flavio Roma,1,0,0,Goalkeeper,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Luca Toni,11,3,7,Forward,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Francesco Totti,10,2,1,Forward,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Christian Vieri,3,1,1,Forward,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Cristian Zaccardo,9,2,1,Defender,https://www.11v11.com/teams/italy/tab/players/season/2006/
Italy,2005-06,Gianluca Zambrotta,10,2,1,Defender,https://www.11v11.com/teams/italy/tab/players/season/2006/
