team,match_date,player,position,birth_city,birth_country,lat,lon,adm1,adm2
Italy,2006-07-09,Gianluigi Buffon,GK,Carrara,Italy,44.0793,10.1007,Tuscany,Massa-Carrara
Italy,2006-07-09,Gianluca Zambrotta,RB,Como,Italy,45.8081,9.0852,Lombardy,Como
Italy,2006-07-09,Fabio Cannavaro,CB,Naples,Italy,40.8518,14.2681,Campania,Napoli
Italy,2006-07-09,Marco Materazzi,CB,Lecce,Italy,40.3515,18.1718,Apulia,Lecce
Italy,2006-07-09,Fabio Grosso,LB,Rome,Italy,41.9028,12.4964,Lazio,Roma
Italy,2006-07-09,Mauro Camoranesi,RM,Tandil,Argentina,-37.3217,-59.1332,Buenos Aires,Tandil
Italy,2006-07-09,Gennaro Gattuso,CM,Corigliano Calabro,Italy,39.5954,16.5145,Calabria,Cosenza
Italy,2006-07-09,Andrea Pirlo,CM,Flero,Italy,45.4829,10.1762,Lombardy,Brescia
Italy,2006-07-09,Simone Perrotta,LM,Ashton-under-Lyne,England,53.4888,-2.0982,England,Greater Manchester
Italy,2006-07-09,Francesco Totti,AM,Rome,Italy,41.9028,12.4964,Lazio,Roma
Italy,2006-07-09,Luca Toni,ST,Pavullo nel Frignano,Italy,44.3339,10.8358,Emilia-Romagna,Modena
